Crossing,,,FRA Number,Latitude,Longitude,Google Maps:,CSV
Airport Blvd - 023228P,,,023228P,29.6459791,-95.311933,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/AIRPORT_BLVD.csv
York Street - 859517C,,,859517C,29.7459719,-95.341959,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/YORK_STREET.csv
Airport Boulevard - 920423P,,,920423P,29.6426053,-95.4077311,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/AIRPORT_BOULEVARD.csv
Alameda/Genoa Rd - 023207W,,,023207W,29.6208544,-95.304407,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/ALAMEDA/GENOA_RD.csv
Antoine Street - 743267T,,,743267T,29.8117019,-95.4746445,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/ANTOINE_STREET.csv
Bingle Road - 743662C,,,743662C,29.825589,-95.4938759,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/BINGLE_ROAD.csv
Blalock Road - 743658M,,,743658M,29.8471692,-95.5242194,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/BLALOCK_ROAD.csv
Brantley Street - 859598E,,,859598E,29.5933147,-95.1697353,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/BRANTLEY_STREET.csv
Broadway Street - 859550C,,,859550C,29.7091547,-95.278094,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/BROADWAY_STREET.csv
Campbell Road - 743653D,,,743653D,29.8527614,-95.5320867,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CAMPBELL_ROAD.csv
Cavalcade Street - 758739G,,,758739G,29.8021563,-95.3426056,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CAVALCADE_STREET.csv
Challenger 7 Parkway - 859597X,,,859597X,29.6007676,-95.1767235,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CHALLENGER_7_PARKWAY.csv
Chimney Rock Road - 755621G,,,755621G,29.6407016,-95.4823696,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CHIMNEY_ROCK_ROAD.csv
Clay Road - 743659U,,,743659U,29.8335141,-95.5050174,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CLAY_ROAD.csv
Clear Lake City Boulevard - 849029W,,,849029W,29.580381,-95.1575267,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CLEAR_LAKE_CITY_BOULEVARD.csv
Commerce Street - 288129A,,,288129A,29.75766,-95.349352,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/COMMERCE_STREET.csv
Cullen Boulevard - 755630F,,,755630F,29.682967,-95.3559176,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/CULLEN_BOULEVARD.csv
Dixie Dr - 023212T,,,023212T,29.6778216,-95.3214321,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/DIXIE_DR.csv
Edgebrook Drive - 859583P,,,859583P,29.6480329,-95.2210022,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/EDGEBROOK_DRIVE.csv
El Dorado Boulevard - 859602S,,,859602S,29.5620381,-95.1404287,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/EL_DORADO_BOULEVARD.csv
Erby Street - 755356U,,,755356U,29.7027002,-95.315157,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/ERBY_STREET.csv
Fannin Street - 745041N,,,745041N,29.6688774,-95.4031223,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/FANNIN_STREET.csv
