fra,loc,records,first,last,median_min,study
288129A,COMMERCE STREET,35603,2022-09-07 17:57:00,2026-09-20 18:36:00,6.88,True
288224V,LEELAND STREET,31797,2023-02-15 08:50:00,2026-09-20 18:00:00,5.05,True
755709E,MARKET STREET,24504,2022-09-15 13:07:00,2026-04-17 04:40:00,4.4,True
859517C,YORK STREET,18960,2022-09-09 21:25:00,2026-09-20 18:41:00,1.44,True
288039B,POLK STREET,16594,2022-11-09 14:39:00,2026-09-20 05:51:00,3.65,True
755640L,HIRSCH ROAD,12035,2023-03-31 14:19:00,2026-09-20 18:27:00,6.25,True
859523F,LOCKWOOD STREET,11535,2022-09-08 00:53:00,2026-09-20 18:45:00,7.9,True
755622N,HILLCROFT AVENUE,11310,2024-06-27 05:03:00,2026-09-08 17:21:00,3.77,False
440652H,POST OAK SOUTHBOUND FRONTAGE,10823,2024-06-27 04:57:00,2026-08-09 10:52:00,3.73,False
755621G,CHIMNEY ROCK ROAD,10766,2024-06-27 05:01:00,2026-08-05 19:20:00,3.55,False
755624C,FONDREN ROAD,10641,2024-07-10 01:15:00,2026-08-13 20:25:00,3.47,False
023228P,AIRPORT BLVD,6251,2024-06-27 06:54:00,2026-08-05 17:25:00,4.28,False
288217K,HOLMES ROAD,4268,2024-06-27 10:01:00,2026-09-19 14:24:00,4.46,False
176296N,TIDWELL ROAD,3816,2024-06-30 01:07:00,2026-09-20 00:23:00,2.79,False
758750G,TIDWELL ROAD,3816,2024-06-30 01:07:00,2026-09-20 00:23:00,2.79,False
755327J,SCOTT STREET,3718,2024-06-27 07:35:00,2026-09-19 23:05:00,4.390000000000001,False
743650H,GESSNER ROAD,3128,2024-06-27 05:02:00,2026-08-07 13:36:00,2.88,False
448535P,LOCKWOOD DRIVE,2836,2024-07-03 08:39:00,2026-09-20 00:08:00,1.7,False
023211L,WB BELLFORT RD,2645,2025-06-27 11:24:00,2026-08-22 05:00:00,5.08,False
755876D,KINGWOOD DRIVE,2532,2024-06-27 07:29:00,2026-08-13 10:53:00,2.675,False
743673P,POST OAK ROAD,2186,2024-06-27 06:33:00,2026-09-19 22:22:00,3.05,False
859592N,GENOA RED BLUFF ROAD,2134,2024-06-27 13:00:00,2026-09-19 12:29:00,3.18,False
745074B,OATES ROAD,2128,2025-10-07 09:45:00,2026-08-05 14:35:00,5.52,False
758748F,LAURA KOPPE ROAD,2123,2024-09-19 15:14:00,2026-08-06 03:38:00,2.52,False
288051H,TELEPHONE ROAD,2113,2025-05-12 04:45:38,2026-09-20 18:46:06,3.25,True
755355M,TELEPHONE ROAD,2113,2025-05-12 04:45:38,2026-09-20 18:46:06,3.25,False
859550C,BROADWAY STREET,2100,2024-06-27 09:13:00,2026-08-12 02:27:00,4.325,False
755863C,MT HOUSTON ROAD,2033,2024-06-27 14:51:00,2026-09-20 00:15:00,2.72,False
745041N,FANNIN STREET,1890,2025-05-03 05:59:00,2026-08-30 12:54:00,4.78,False
755351K,LAWNDALE STREET,1871,2024-06-27 07:19:00,2026-09-20 02:40:00,2.75,False
869788K,MCCARTY ST,1860,2025-09-06 14:08:00,2026-08-05 21:28:00,3.6900000000000004,False
849029W,CLEAR LAKE CITY BOULEVARD,1829,2024-07-10 05:13:00,2026-09-11 04:03:00,3.77,False
755626R,SOUTH WAYSIDE DRIVE,1783,2024-08-01 17:14:24,2026-09-10 21:02:05,3.53,False
900238R,PINELOCH DRIVE,1757,2024-08-30 09:20:00,2026-08-07 10:23:00,3.45,False
758757E,LITTLE YORK ROAD,1744,2024-09-19 11:57:00,2026-09-20 00:19:00,2.6900000000000004,False
758739G,CAVALCADE STREET,1604,2024-06-27 15:14:00,2026-09-11 03:09:00,4.41,False
743659U,CLAY ROAD,1513,2024-06-27 04:54:00,2026-08-06 08:38:00,3.08,False
859602S,EL DORADO BOULEVARD,1310,2024-06-27 12:44:00,2026-09-20 03:15:00,3.42,False
859570N,HOWARD DRIVE,1234,2024-06-27 14:35:00,2026-09-06 00:53:00,4.38,False
859598E,BRANTLEY STREET,1233,2024-08-02 00:08:00,2026-08-11 03:32:00,3.08,False
743267T,ANTOINE STREET,1213,2024-07-04 00:51:00,2026-08-06 00:18:00,3.27,False
745046X,SOUTH 75TH STREET,1187,2024-06-27 07:22:19,2026-09-20 02:39:06,6.12,False
859587S,SOUTH SHAVER STREET,1180,2024-08-27 10:17:00,2026-09-20 02:54:00,3.88,False
758656T,SOUTH PINEMONT DRIVE,1174,2024-06-27 04:56:00,2026-08-06 08:39:00,3.2,False
758756X,LANGLEY ROAD,1112,2025-10-11 16:47:00,2026-09-20 00:20:00,2.45,False
758758L,HOPPER ROAD,1086,2024-09-19 12:01:00,2026-08-05 17:38:00,2.47,False
755612H,KIRBY DRIVE,1037,2024-06-27 10:06:00,2026-08-30 07:55:00,4.7,False
859597X,CHALLENGER 7 PARKWAY,1024,2024-08-27 10:03:00,2026-08-06 16:56:00,2.6399999999999997,False
743270B,LONG POINT ROAD,1021,2024-06-27 06:32:00,2026-08-11 14:01:00,2.78,False
743662C,BINGLE ROAD,1010,2024-08-05 05:17:00,2026-08-30 02:38:00,2.88,False
755356U,ERBY STREET,957,2024-08-01 17:03:00,2026-09-19 00:59:00,4.32,False
758747Y,WEAVER ROAD,919,2024-09-19 15:15:00,2026-08-20 08:43:00,1.7,False
743677S,HEMPSTEAD ROAD,889,2025-07-28 15:09:00,2026-08-05 19:38:00,4.22,False
859583P,EDGEBROOK DRIVE,880,2024-07-11 11:57:00,2026-04-03 13:00:00,3.82,False
743668T,KEMPWOOD DRIVE,784,2024-09-05 09:04:00,2026-08-06 08:36:00,2.975,False
