param,value,crossing,episodes,median_min,short_frac
merge_gap_min,0.0,Commerce Street,35522,6.88,0.01925567254096053
merge_gap_min,0.0,Hirsch Road,11241,7.75,0.30290899386175607
merge_gap_min,0.0,Leeland Street,31076,5.180000000000001,0.19291414596473164
merge_gap_min,0.0,Lockwood Street,11508,7.9,0.049443865137295796
merge_gap_min,0.0,Market Street,23776,4.52,0.2560985868102288
merge_gap_min,0.0,Polk Street,16216,3.8,0.23143808584114456
merge_gap_min,0.0,Telephone Road,2096,3.2750000000000004,0.24952290076335878
merge_gap_min,0.0,York Street,18743,1.63,0.47014885557274716
merge_gap_min,1.0,Commerce Street,35125,6.930000000000001,0.015772241992882564
merge_gap_min,1.0,Hirsch Road,9666,10.4,0.20453134698944755
merge_gap_min,1.0,Leeland Street,28470,5.63,0.14267650158061118
merge_gap_min,1.0,Lockwood Street,11408,7.95,0.04461781206171108
merge_gap_min,1.0,Market Street,21398,5.72,0.19908402654453689
merge_gap_min,1.0,Polk Street,15214,4.180000000000001,0.17503615091363217
merge_gap_min,1.0,Telephone Road,2057,3.569999999983333,0.2396694214876033
merge_gap_min,1.0,York Street,13609,6.3,0.21831141156587552
merge_gap_min,2.0,Commerce Street,34783,6.98,0.014029842164275651
merge_gap_min,2.0,Hirsch Road,9234,11.0,0.18117825427766948
merge_gap_min,2.0,Leeland Street,26800,5.92,0.12011194029850747
merge_gap_min,2.0,Lockwood Street,11347,7.98,0.04186128492112453
merge_gap_min,2.0,Market Street,20260,6.5,0.17941757156959526
merge_gap_min,2.0,Polk Street,14783,4.38,0.1530812419671244
merge_gap_min,2.0,Telephone Road,2025,3.7,0.2345679012345679
merge_gap_min,2.0,York Street,12567,6.48,0.20124134638338506
merge_gap_min,5.0,Commerce Street,33545,7.22,0.012192577135191533
merge_gap_min,5.0,Hirsch Road,7636,13.569999999983335,0.05133577789418544
merge_gap_min,5.0,Leeland Street,23383,6.72,0.06834024718812813
merge_gap_min,5.0,Lockwood Street,11273,8.05,0.03849906857092167
merge_gap_min,5.0,Market Street,18932,7.58,0.15048594971476864
merge_gap_min,5.0,Polk Street,14021,4.819999999999999,0.10462877112902075
merge_gap_min,5.0,Telephone Road,1923,4.22,0.21320852834113366
merge_gap_min,5.0,York Street,11920,6.930000000000001,0.16585570469798658
