name,merge_gap_min,silence_threshold_h,episodes,eligible_days,blocked_pct,added_clear_minutes
Commerce Street,0,6,35522,1461.7650208333332,14.718826668841656,0.0
Commerce Street,0,12,35522,1469.7936944444443,14.638425823669087,0.0
Commerce Street,0,24,35522,1469.7936944444443,14.638425823669087,0.0
Commerce Street,0,48,35522,1471.2974097222223,14.623464861726099,0.0
Commerce Street,0,inf,35522,1474.0315972222222,14.59633973434961,0.0
Commerce Street,1,6,35125,1461.7650208333332,14.728587984645937,205.47000000008848
Commerce Street,1,12,35125,1469.7936944444443,14.648133818780195,205.47000000008848
Commerce Street,1,24,35125,1469.7936944444443,14.648133818780195,205.47000000008848
Commerce Street,1,48,35125,1471.2974097222223,14.633162934940746,205.47000000008848
Commerce Street,1,inf,35125,1474.0315972222222,14.606019818566866,205.47000000008848
Commerce Street,2,6,34783,1461.7650208333332,14.752953505888451,718.3500000002678
Commerce Street,2,12,34783,1469.7936944444443,14.67236624459703,718.3500000002678
Commerce Street,2,24,34783,1469.7936944444443,14.67236624459703,718.3500000002678
Commerce Street,2,48,34783,1471.2974097222223,14.657370594406009,718.3500000002678
Commerce Street,2,inf,34783,1474.0315972222222,14.630182575141284,718.3500000002678
Commerce Street,5,6,33545,1461.7650208333332,14.968996551224599,5265.930000000575
Commerce Street,5,12,33545,1469.7936944444443,14.887229165740573,5265.930000000575
Commerce Street,5,24,33545,1469.7936944444443,14.887229165740573,5265.930000000575
Commerce Street,5,48,33545,1471.2974097222223,14.87201391844089,5265.930000000575
Commerce Street,5,inf,33545,1474.0315972222222,14.844427756358439,5265.930000000575
Hirsch Road,0,6,11240,700.865770833333,22.192770883543155,0.0
Hirsch Road,0,12,11240,992.4558819444444,15.672387816119278,0.0
Hirsch Road,0,24,11240,1104.1607430555555,14.086856076026441,0.0
Hirsch Road,0,48,11240,1113.1513055555554,13.973081102805876,0.0
Hirsch Road,0,inf,11240,1269.1803125,12.25527477776884,0.0
Hirsch Road,1,6,9666,700.865770833333,22.291852702695213,999.9800000003015
Hirsch Road,1,12,9666,992.4558819444444,15.742358740589514,999.9800000003015
Hirsch Road,1,24,9666,1104.1607430555555,14.149748237328433,999.9800000003015
Hirsch Road,1,48,9666,1113.1513055555554,14.03546530449436,999.9800000003015
Hirsch Road,1,inf,9666,1269.1803125,12.309989663330521,999.9800000003015
Hirsch Road,2,6,9235,700.865770833333,22.35622645725519,1649.670000000362
Hirsch Road,2,12,9235,992.4558819444444,15.787819059714954,1649.670000000362
Hirsch Road,2,24,9235,1104.1607430555555,14.190609462829224,1649.670000000362
Hirsch Road,2,48,9235,1113.1513055555554,14.075996507113393,1649.670000000362
Hirsch Road,2,inf,9235,1269.1803125,12.34553808829958,1649.670000000362
Hirsch Road,5,6,7636,700.865770833333,22.765542629313867,5780.680000000517
Hirsch Road,5,12,7636,992.4558819444444,16.076875429538063,5780.680000000517
Hirsch Road,5,24,7636,1104.1607430555555,14.450422806356164,5780.680000000517
Hirsch Road,5,48,7636,1113.1513055555554,14.333711422428774,5780.680000000517
Hirsch Road,5,inf,7636,1269.1803125,12.571570348348882,5780.680000000517
Leeland Street,0,6,31067,1182.878388888889,13.834076279372738,0.0
Leeland Street,0,12,31067,1206.7697986111111,13.560191744891213,0.0
Leeland Street,0,24,31067,1208.734,13.538156336390323,0.0
Leeland Street,0,48,31067,1211.7310625,13.504671430431719,0.0
Leeland Street,0,inf,31067,1313.3877083333334,12.459405366200736,0.0
