name,threshold_min,episodes_over,episodes_pct,blocked_time_pct
Commerce Street,5,25605,72.08208997241147,89.56824372235398
Commerce Street,10,8522,23.990766285682113,49.866680205593255
Commerce Street,15,3270,9.205562749845168,29.651719204186747
Commerce Street,30,837,2.356286245143855,14.079626377292069
Commerce Street,60,183,0.5151736951748211,5.607619919146828
Commerce Street,120,32,0.09008501773548787,1.8127334823196715
Commerce Street,1440,0,0.0,0.0
Hirsch Road,5,6348,56.47686832740213,97.5217319811107
Hirsch Road,10,4977,44.279359430604984,92.86175392326712
Hirsch Road,15,3452,30.711743772241995,84.5351507352388
Hirsch Road,30,2041,18.15836298932384,71.62895619922243
Hirsch Road,60,998,8.87900355871886,51.20795039517236
Hirsch Road,120,261,2.3220640569395017,23.810681864584424
Hirsch Road,1440,0,0.0,0.0
Leeland Street,5,16001,51.50481218012683,88.06038124862712
Leeland Street,10,4599,14.803489232948145,53.73424681496924
Leeland Street,15,2100,6.759584124633856,41.1914589260683
Leeland Street,30,1115,3.5890172852222615,32.51054151927097
Leeland Street,60,418,1.3454791257604533,19.777706888708227
Leeland Street,120,94,0.30257186081694404,8.87613724936967
Leeland Street,1440,0,0.0,0.0
Lockwood Street,5,8747,76.00799443865137,95.03135335289652
Lockwood Street,10,3922,34.080639555092105,71.26638312611878
Lockwood Street,15,1902,16.527632950990615,55.063251498213084
Lockwood Street,30,830,7.212374000695168,40.96405694568465
Lockwood Street,60,333,2.8936392075078206,27.026616154836223
Lockwood Street,120,111,0.9645464025026069,15.014838521463558
Lockwood Street,1440,0,0.0,0.0
Market Street,5,11315,47.59200841219769,91.469029534736
Market Street,10,7375,31.019978969505786,79.35106810082219
Market Street,15,3891,16.365930599369086,61.172103911828856
Market Street,30,1372,5.770767613038907,41.143464651383795
Market Street,60,616,2.590956887486856,27.64608806792454
Market Street,120,160,0.6729758149316508,12.090833469043295
Market Street,1440,0,0.0,0.0
Polk Street,5,6424,39.62252513415161,86.10014926288771
Polk Street,10,2347,14.476037747486584,64.9999198302237
Polk Street,15,1329,8.197125763276384,56.05612060947387
Polk Street,30,707,4.36069820514402,46.56981471072858
Polk Street,60,329,2.0292357984333558,34.80354653443787
Polk Street,120,134,0.8264972552889657,23.1421536661939
Polk Street,1440,0,0.0,0.0
Telephone Road,5,800,38.2043935052531,88.78739711930803
Telephone Road,10,322,15.377268385864372,72.3159862873024
Telephone Road,15,213,10.17191977077364,65.61671358433806
Telephone Road,30,89,4.2502387774594075,52.557322498942824
Telephone Road,60,27,1.2893982808022924,39.7991543340392
Telephone Road,120,15,0.7163323782234957,35.42853535166072
Telephone Road,1440,0,0.0,0.0
York Street,5,7426,39.6201248466094,90.57525978481362
York Street,10,3172,16.923651496558715,63.80511062348234
York Street,15,1436,7.6615269700688255,45.98385046518057
York Street,30,505,2.6943392199754572,30.45531946159052
York Street,60,191,1.0190471109214105,19.389255254628935
York Street,120,58,0.3094488609080724,10.165402027391782
York Street,1440,0,0.0,0.0
