fra,name,rows,first,last,invalid_rows
023211L,Wb Bellfort Rd,2645,2025-06-27 11:24:00,2026-08-22 05:00:00,1
023212T,Dixie Dr,144,2026-02-05 12:48:00,2026-08-05 13:09:00,0
023214G,Long Dr,406,2025-06-26 13:53:00,2026-08-10 11:57:00,0
023228P,Airport Blvd,6251,2024-06-27 06:54:00,2026-08-05 17:25:00,29
176296N,Tidwell Road,3816,2024-06-30 01:07:00,2026-09-20 00:23:00,3
288039B,Polk Street,16594,2022-11-09 14:39:00,2026-09-20 05:51:00,3
288051H,Telephone Road,2113,2025-05-12 04:45:38,2026-09-20 18:46:06,2
288129A,Commerce Street,35603,2022-09-07 17:57:00,2026-09-20 18:36:00,0
288208L,Holly Hall Street,441,2024-08-22 07:37:00,2026-09-16 16:01:00,5
288209T,I 610 Frontage Road Westbound,175,2025-03-25 15:00:00,2026-09-16 18:27:00,1
288217K,Holmes Road,4268,2024-06-27 10:01:00,2026-09-19 14:24:00,49
288224V,Leeland Street,31797,2023-02-15 08:50:00,2026-09-20 18:00:00,9
440652H,Post Oak Southbound Frontage,10823,2024-06-27 04:57:00,2026-08-09 10:52:00,32
447983U,Private,312,2025-07-07 15:20:17,2026-09-19 17:43:13,0
447996V,Reed Road,730,2024-06-27 14:08:00,2026-09-19 17:56:00,4
448535P,Lockwood Drive,2836,2024-07-03 08:39:00,2026-09-20 00:08:00,1
743267T,Antoine Street,1213,2024-07-04 00:51:00,2026-08-06 00:18:00,9
743270B,Long Point Road,1021,2024-06-27 06:32:00,2026-08-11 14:01:00,16
743650H,Gessner Road,3128,2024-06-27 05:02:00,2026-08-07 13:36:00,0
743653D,Campbell Road,649,2024-09-26 19:07:00,2026-08-07 09:25:00,1
743658M,Blalock Road,717,2024-10-17 09:40:00,2026-08-06 00:24:00,6
743659U,Clay Road,1513,2024-06-27 04:54:00,2026-08-06 08:38:00,1
743662C,Bingle Road,1010,2024-08-05 05:17:00,2026-08-30 02:38:00,2
743668T,Kempwood Drive,784,2024-09-05 09:04:00,2026-08-06 08:36:00,1
743673P,Post Oak Road,2186,2024-06-27 06:33:00,2026-09-19 22:22:00,12
743677S,Hempstead Road,889,2025-07-28 15:09:00,2026-08-05 19:38:00,6
745041N,Fannin Street,1890,2025-05-03 05:59:00,2026-08-30 12:54:00,1
745046X,South 75Th Street,1187,2024-06-27 07:22:19,2026-09-20 02:39:06,3
745074B,Oates Road,2128,2025-10-07 09:45:00,2026-08-05 14:35:00,4
755327J,Scott Street,3718,2024-06-27 07:35:00,2026-09-19 23:05:00,0
755351K,Lawndale Street,1871,2024-06-27 07:19:00,2026-09-20 02:40:00,42
755355M,Telephone Road,2113,2025-05-12 04:45:38,2026-09-20 18:46:06,2
755356U,Erby Street,957,2024-08-01 17:03:00,2026-09-19 00:59:00,1
755612H,Kirby Drive,1037,2024-06-27 10:06:00,2026-08-30 07:55:00,3
755621G,Chimney Rock Road,10766,2024-06-27 05:01:00,2026-08-05 19:20:00,19
755622N,Hillcroft Avenue,11310,2024-06-27 05:03:00,2026-09-08 17:21:00,84
755624C,Fondren Road,10641,2024-07-10 01:15:00,2026-08-13 20:25:00,65
755626R,South Wayside Drive,1783,2024-08-01 17:14:24,2026-09-10 21:02:05,2
755630F,Cullen Boulevard,249,2024-06-27 10:52:00,2026-09-17 11:15:00,1
755640L,Hirsch Road,12035,2023-03-31 14:19:00,2026-09-20 18:27:00,1
755709E,Market Street,24504,2022-09-15 13:07:00,2026-04-17 04:40:00,3
755863C,Mt Houston Road,2033,2024-06-27 14:51:00,2026-09-20 00:15:00,2
755876D,Kingwood Drive,2532,2024-06-27 07:29:00,2026-08-13 10:53:00,5
758656T,South Pinemont Drive,1174,2024-06-27 04:56:00,2026-08-06 08:39:00,6
758739G,Cavalcade Street,1604,2024-06-27 15:14:00,2026-09-11 03:09:00,0
758747Y,Weaver Road,919,2024-09-19 15:15:00,2026-08-20 08:43:00,0
758748F,Laura Koppe Road,2123,2024-09-19 15:14:00,2026-08-06 03:38:00,12
758750G,Tidwell Road,3816,2024-06-30 01:07:00,2026-09-20 00:23:00,3
758756X,Langley Road,1112,2025-10-11 16:47:00,2026-09-20 00:20:00,0
758757E,Little York Road,1744,2024-09-19 11:57:00,2026-09-20 00:19:00,4
758758L,Hopper Road,1086,2024-09-19 12:01:00,2026-08-05 17:38:00,0
849029W,Clear Lake City Boulevard,1829,2024-07-10 05:13:00,2026-09-11 04:03:00,0
859517C,York Street,18960,2022-09-09 21:25:00,2026-09-20 18:41:00,0
859523F,Lockwood Street,11535,2022-09-08 00:53:00,2026-09-20 18:45:00,0
859550C,Broadway Street,2100,2024-06-27 09:13:00,2026-08-12 02:27:00,8
859567F,Park Place Boulevard,493,2024-06-27 14:40:00,2026-09-20 02:38:00,0
859568M,Park Terrace Boulevard,730,2024-11-19 17:50:00,2026-08-22 09:11:00,0
859570N,Howard Drive,1234,2024-06-27 14:35:00,2026-09-06 00:53:00,3
859583P,Edgebrook Drive,880,2024-07-11 11:57:00,2026-04-03 13:00:00,0
859587S,South Shaver Street,1180,2024-08-27 10:17:00,2026-09-20 02:54:00,0
859592N,Genoa Red Bluff Road,2134,2024-06-27 13:00:00,2026-09-19 12:29:00,1
859597X,Challenger 7 Parkway,1024,2024-08-27 10:03:00,2026-08-06 16:56:00,0
859598E,Brantley Street,1233,2024-08-02 00:08:00,2026-08-11 03:32:00,0
859602S,El Dorado Boulevard,1310,2024-06-27 12:44:00,2026-09-20 03:15:00,1
869788K,Mccarty St,1860,2025-09-06 14:08:00,2026-08-05 21:28:00,5
900238R,Pineloch Drive,1757,2024-08-30 09:20:00,2026-08-07 10:23:00,13
920423P,Airport Boulevard,608,2024-07-31 11:43:00,2026-09-15 15:30:00,0
