a,b,joint_eligible_days,a_blocked_pct,b_blocked_pct,both_blocked_pct,p_b_given_a_pct,lift
Commerce Street,Hirsch Road,1104.1652777777779,15.534547842198542,14.437313757627368,2.1074869276565127,13.566451686039215,0.9396797710288683
Commerce Street,Leeland Street,1204.5,15.692830127761633,14.37572067709054,2.691584797749181,17.15168504237864,1.193100883610791
Commerce Street,Lockwood Street,1455.3645833333333,15.477126054229442,7.416192487086808,1.0353934795834379,6.6898303726129775,0.9020572732249623
Commerce Street,Market Street,1301.1583333333333,15.736138953112292,13.382306790744144,2.021649513147473,12.84717629382417,0.9600120887013219
Commerce Street,Polk Street,1366.8291666666667,15.579041922860798,7.29659176703583,1.113942752741798,7.150264812544027,0.9799458488067166
Commerce Street,Telephone Road,305.2861111111111,14.866291184044112,4.487138658635343,0.675368279300838,4.542950699268599,1.012438225087127
Commerce Street,York Street,1428.4708333333333,15.50735586519773,6.186199500437044,2.05765878236148,13.268920893079947,2.1449228871688537
Hirsch Road,Leeland Street,1030.5076388888888,14.15537514884452,14.274450766241827,1.9339848011801088,13.662547130289065,0.9571329471113611
Hirsch Road,Lockwood Street,1090.0243055555557,14.447498940836564,6.965186173855706,0.9757045427758684,6.7534494847270174,0.9696007136286671
Hirsch Road,Market Street,947.8090277777778,14.964629683224102,13.199301019529692,2.0856580783898537,13.937251522688548,1.0559083016643827
Hirsch Road,Polk Street,1095.0027777777777,14.474912544615565,7.13398748354266,1.2803747326871318,8.845474739420174,1.2399061197998638
Hirsch Road,Telephone Road,302.7840277777778,12.944686921600242,4.497384228307213,0.6309502785492961,4.874202693125443,1.083786140051472
Hirsch Road,York Street,1067.3861111111112,14.452296497934986,6.039806484688713,0.8351788767471939,5.778866195185853,0.9567965811215379
Leeland Street,Lockwood Street,1195.675,14.412825856152848,7.223430279967383,0.9888649600527828,6.8610067860539345,0.9498266779263376
Leeland Street,Market Street,1045.2680555555555,14.504054648395615,13.051277383658896,1.908003396258004,13.15496557694686,1.0079446777690733
Leeland Street,Polk Street,1185.9729166666666,14.420708267532342,7.316894649903589,1.0719633025159254,7.433499677192755,1.0159364092102516
Leeland Street,Telephone Road,305.2625,14.029137035975412,4.487485724945288,0.6710981896273244,4.7836027825974154,1.0659872979664435
Leeland Street,York Street,1170.6375,14.429815663118031,6.165325398435563,0.8016168777933201,5.55528148458762,0.9010524385294015
Lockwood Street,Market Street,1288.5993055555555,7.520062427819181,13.372239344723463,0.9538242158933338,12.683727363283909,0.9485118413086712
Lockwood Street,Polk Street,1356.9256944444444,7.246466558135654,7.2967231379348645,0.5403349995112522,7.45653064395384,1.0219012703371126
Lockwood Street,Telephone Road,305.2888888888889,5.961793929247343,4.487097830834182,0.2490810161595574,4.177954137891564,0.9311038661073394
Lockwood Street,York Street,1419.6458333333333,7.497126141594392,6.191831882952028,2.6386178086279344,35.195056863039355,5.684110539231841
Market Street,Polk Street,1208.1013888888888,13.054287432185257,7.749591013447408,1.0224376403286608,7.83219800881546,1.0106595296738512
Market Street,Telephone Road,179.41180555555556,12.313772241855137,3.9314426385604193,0.43041884553304977,3.4954263980133913,0.8890951030874801
Market Street,York Street,1268.9229166666667,13.428328596704663,6.290494617865436,0.8308117831778811,6.187008138762436,0.983548753255572
Polk Street,Telephone Road,304.7583333333333,4.774274698531624,4.485566888153637,0.8066500779306007,16.895761741122566,3.7666948598502006
Polk Street,York Street,1335.9354166666667,7.335320081070952,6.178567140065716,0.482547861023305,6.578415879472479,1.0647154478283312
Telephone Road,York Street,286.90416666666664,4.528951304878226,4.591399567219019,0.2655261387125976,5.862861418416974,1.276922500989839
