name,year,days_ge12h,blocked_pct_days_ge12h,day_bootstrap_p025,day_bootstrap_p975
Commerce Street,2025,62,15.702721773633513,14.92133512486466,16.532209340787876
Commerce Street,2026,62,11.314258512096773,10.490117606986448,12.090598397615645
Hirsch Road,2025,62,13.192215501568104,11.279712701481293,15.326073028342478
Hirsch Road,2026,60,10.501510435101622,9.194383113702761,11.898194958953619
Leeland Street,2025,62,12.786267920773595,11.804503527837515,13.727401433429474
Leeland Street,2026,62,10.589639336245522,9.916140232378938,11.273013832178263
Lockwood Street,2025,62,6.274271953311677,5.740285898114079,6.837517081001249
Lockwood Street,2026,62,4.973678315281511,4.532508960478737,5.450037242235103
Market Street,2025,62,13.57224462331989,12.565532873731053,14.622342629666031
Polk Street,2025,62,5.220127688097371,3.929834229242738,6.685597558187722
Polk Street,2026,62,2.7268145159796893,2.1175826051910653,3.40260220642921
Telephone Road,2025,34,1.80339505090358,1.3101513323822191,2.4333989871310964
Telephone Road,2026,30,7.473422414824053,3.1625210675551765,13.308772316512194
York Street,2025,54,5.567964370196768,4.651006886371503,6.5330701165661065
York Street,2026,60,4.884097920134947,4.201653793640394,5.69064239293189
