name,year,blocked_min,eligible_min,eligible_days,blocked_pct
Commerce Street,2025,14019.3899995,89280.0,62.0,15.702721773633511
Commerce Street,2026,10101.3699996,89280.0,62.0,11.314258512096773
Hirsch Road,2025,11778.0099998,89280.0,62.0,13.192215501568102
Hirsch Road,2026,8989.729999933334,85562.87,59.418659722222216,10.506578379071826
Leeland Street,2025,11415.579999666666,89280.0,62.0,12.786267920773595
Leeland Street,2026,9454.4299994,89280.0,62.0,10.589639336245519
Lockwood Street,2025,5601.669999916667,89280.0,62.0,6.274271953311678
Lockwood Street,2026,4440.499999883334,89280.0,62.0,4.973678315281512
Market Street,2025,12117.2999997,89280.0,62.0,13.572244623319893
Market Street,2026,,,,
Polk Street,2025,4660.529999933333,89280.0,62.0,5.220127688097371
Polk Street,2026,2434.4999998666667,89280.0,62.0,2.7268145159796893
Telephone Road,2025,868.6099999833333,48641.97666666667,33.77915046296297,1.7857210161004282
Telephone Road,2026,3359.2433333000004,45069.53333333333,31.298287037037035,7.4534681964756695
York Street,2025,4333.019999933334,79115.37,54.941229166666666,5.476837180857947
York Street,2026,4133.709999783334,84636.1,58.77506944444445,4.884097920134947
