name,month,blocked_min,eligible_min,span_min,episodes,blocked_pct,eligible_days,usable_for_trend
Commerce Street,2022-09,4509.789999816667,33483.0,33483.0,542,13.468894662415753,23.252083333333335,True
Commerce Street,2022-10,5727.439999766667,44640.0,44640.0,666,12.830286737828553,31.0,True
Commerce Street,2022-11,5562.499999783334,43200.0,43200.0,646,12.876157406905865,30.0,True
Commerce Street,2022-12,5912.049999866666,44640.0,44640.0,671,13.24383960543608,31.0,True
Commerce Street,2023-01,5575.8499998,44640.0,44640.0,649,12.490703404569892,31.0,True
Commerce Street,2023-02,6123.499999883334,40320.0,40320.0,616,15.187251983837632,28.0,True
Commerce Street,2023-03,6571.3399997999995,44640.0,44640.0,678,14.720743727150538,31.0,True
Commerce Street,2023-04,5948.75999985,43200.0,43200.0,700,13.770277777430556,30.0,True
Commerce Street,2023-05,6092.429999783333,44640.0,44640.0,700,13.647916666181303,31.0,True
Commerce Street,2023-06,6090.199999816667,43200.0,43200.0,708,14.097685184760802,30.0,True
Commerce Street,2023-07,6589.42999975,44640.0,44640.0,727,14.761267920586919,31.0,True
Commerce Street,2023-08,7227.379999783334,44640.0,44640.0,723,16.19036738302718,31.0,True
Commerce Street,2023-09,6879.259999816667,43200.0,43200.0,694,15.924212962538581,30.0,True
Commerce Street,2023-10,7179.639999833333,44640.0,44640.0,733,16.083422938694742,31.0,True
Commerce Street,2023-11,6461.26999985,43200.0,43200.0,678,14.956643518171296,30.0,True
Commerce Street,2023-12,6783.03999985,44640.0,44640.0,753,15.194982078517025,31.0,True
Commerce Street,2024-01,6735.12999975,44640.0,44640.0,784,15.087656809475808,31.0,True
Commerce Street,2024-02,7451.839999866667,41760.0,41760.0,686,17.844444444125163,29.0,True
Commerce Street,2024-03,6919.309999733333,44640.0,44640.0,772,15.500246415173237,31.0,True
Commerce Street,2024-04,6089.719999783333,43200.0,43200.0,672,14.096574073572532,30.0,True
Commerce Street,2024-05,7552.37999975,44640.0,44640.0,678,16.918413977934588,31.0,True
Commerce Street,2024-06,7023.339999783333,43200.0,43200.0,722,16.257731480979935,30.0,True
Commerce Street,2024-07,6273.529999883333,38537.42,44640.0,626,16.279060715230376,26.76209722222222,True
Commerce Street,2024-08,7654.81999985,44640.0,44640.0,791,17.147894264896955,31.0,True
Commerce Street,2024-09,6355.1699997,43200.0,43200.0,739,14.711041665972223,30.0,True
Commerce Street,2024-10,6369.24999985,44640.0,44640.0,845,14.268033153785842,31.0,True
Commerce Street,2024-11,6148.219999783333,43200.0,43200.0,741,14.231990740239198,30.0,True
Commerce Street,2024-12,5667.919999816667,44640.0,44640.0,740,12.696953404607228,31.0,True
Commerce Street,2025-01,5966.059999733334,44640.0,44640.0,740,13.364829748506574,31.0,True
Commerce Street,2025-02,5746.87999985,40320.0,40320.0,720,14.253174602802579,28.0,True
Commerce Street,2025-03,7256.349999766667,44640.0,44640.0,814,16.255264336394863,31.0,True
Commerce Street,2025-04,6290.449999833333,43200.0,43200.0,777,14.561226851466047,30.0,True
Commerce Street,2025-05,6644.509999783333,44640.0,44640.0,809,14.884655017435783,31.0,True
Commerce Street,2025-06,7378.699999816667,43200.0,43200.0,800,17.08032407364969,30.0,True
Commerce Street,2025-07,6829.3399997,44640.0,44640.0,826,15.298700716173835,31.0,True
Commerce Street,2025-08,7190.0499998,44640.0,44640.0,857,16.10674283109319,31.0,True
Commerce Street,2025-09,6608.59999975,43200.0,43200.0,792,15.297685184606483,30.0,True
Commerce Street,2025-10,6919.9399997,44640.0,44640.0,851,15.501657705421147,31.0,True
Commerce Street,2025-11,6444.6599998,43200.0,43200.0,820,14.91819444398148,30.0,True
Commerce Street,2025-12,6529.7199998,44640.0,44640.0,778,14.627508960125446,31.0,True
Commerce Street,2026-01,6074.259999683333,44640.0,44640.0,764,13.607213260939366,31.0,True
Commerce Street,2026-02,6084.429999783333,40320.0,40320.0,687,15.090352182002315,28.0,True
Commerce Street,2026-03,6666.549999883334,44640.0,44640.0,764,14.93402777751643,31.0,True
Commerce Street,2026-04,6610.859999766667,43200.0,43200.0,734,15.302916666126542,30.0,True
