name,elapsed_min,episodes_at_risk,median_remaining_min,p90_remaining_min,p_more_than_10min
Commerce Street,0,35522,6.88,14.5,0.23990766285682114
Commerce Street,5,25605,3.2799999999999994,11.77,0.127709431751611
Commerce Street,10,8522,3.3499999999999996,19.7,0.20957521708519128
Commerce Street,15,3270,5.98,32.080000000000005,0.3620795107033639
Commerce Street,30,837,12.0,50.577999999999996,0.5555555555555556
Commerce Street,60,183,18.25,90.74000000000002,0.6721311475409836
Hirsch Road,0,11240,7.75,55.484000000000016,0.4427935943060498
Hirsch Road,5,6348,11.55,74.69200000000001,0.5437933207309389
Hirsch Road,10,4977,12.279999999999998,81.42800000000007,0.5396825396825397
Hirsch Road,15,3452,23.025,92.11200000000002,0.6642526071842411
Hirsch Road,30,2041,29.25,105.38,0.8049975502204801
Hirsch Road,60,998,31.35,130.22500000000005,0.8026052104208417
Leeland Street,0,31067,5.180000000000001,11.938000000000029,0.14803489232948144
Leeland Street,5,16001,2.8499999999999996,15.129999999999999,0.13124179738766328
Leeland Street,10,4599,4.18,47.434,0.34942378777995214
Leeland Street,15,2100,17.14,66.96200000000002,0.6290476190476191
Leeland Street,30,1115,21.869999999999997,81.56200000000001,0.7399103139013453
Leeland Street,60,418,22.069999999999993,103.30600000000001,0.6913875598086124
Lockwood Street,0,11508,7.9,21.2,0.34080639555092107
Lockwood Street,5,8747,4.379999999999999,23.420000000000027,0.21744598147936436
Lockwood Street,10,3922,4.75,43.62,0.31718510963793983
Lockwood Street,15,1902,11.035000000000002,71.48500000000003,0.517875920084122
Lockwood Street,30,830,21.735,104.30300000000001,0.7192771084337349
Lockwood Street,60,333,32.58,134.35399999999998,0.8168168168168168
Market Street,0,23775,4.52,18.692000000000043,0.31019978969505785
Market Street,5,11315,7.43,31.730000000000032,0.3438798055678303
Market Street,10,7375,5.370000000000001,42.868000000000016,0.2888135593220339
Market Street,15,3891,6.199999999999999,63.75,0.41531739912618865
Market Street,30,1372,25.240000000000002,95.32700000000001,0.7478134110787172
Market Street,60,616,28.605000000000004,112.135,0.7613636363636364
Polk Street,0,16213,3.8,12.770000000000001,0.14476037747486584
Polk Street,5,6424,3.33,28.213999999999995,0.20688044831880448
Polk Street,10,2347,6.920000000000002,65.74200000000002,0.43289305496378355
Polk Street,15,1329,17.18,106.92000000000002,0.6237772761474794
Polk Street,30,707,27.15,146.096,0.7567185289957568
Polk Street,60,329,41.63000000000001,233.964,0.8054711246200608
Telephone Road,0,2094,3.2800000000000002,15.235000000000001,0.15377268385864373
Telephone Road,5,800,3.415,26.90300000000001,0.26625
Telephone Road,10,322,8.59,43.35099999998507,0.453416149068323
Telephone Road,15,213,12.8,53.368000000000094,0.5492957746478874
Telephone Road,30,89,14.830000000000005,204.368,0.6404494382022472
Telephone Road,60,27,115.4,765.0820000000002,0.8148148148148148
York Street,0,18743,1.63,13.129999999999999,0.16923651496558714
York Street,5,7426,4.1899999999999995,17.08,0.19337462967950445
York Street,10,3172,4.270000000000001,32.5,0.2673392181588903
York Street,15,1436,7.579999999999998,56.385,0.43941504178272983
York Street,30,505,20.730000000000004,97.47000000000001,0.6871287128712872
York Street,60,191,31.0,134.48,0.7801047120418848
